,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
0,150.073478375,130.819952818,98.9168623853,81.0920955056,85.0967717872,76.5721835091,6575.92795348,7241.4605686,5863.29928735,0.147142160727,0.422212439418,0.155147380784,30368.9782179,54831.7893835,34458.2266955,22924.0
1,122.278944,136.241896,148.261242667,111.772518666,107.610035348,105.375315251,12493.0959289,11579.9197077,11103.9570643,0.0166976059285,0.051622582234,0.0104853941542,15173.5302089,26916.7623239,12050.7628389,14223.0
2,171.367077333,172.14168,158.255405333,63.4700440909,82.9546451268,72.9088927917,4028.4464969,6881.47314811,5315.70664812,0.438906211723,0.556661576253,0.210529238791,43310.1485797,45053.9044146,32636.4217555,18307.0
3,53.87208,42.63992,50.3130266667,73.3541942755,61.754919791,67.5411266783,5380.83781781,3813.67011839,4561.80379297,0.30474466351,0.339028379281,0.0139646020496,33661.9991682,35737.7947137,8849.77496889,27420.0
4,88.337392,146.330610667,143.595208,87.8995396953,67.4299316371,84.7589997234,7726.32907864,4546.79568059,7184.0880341,0.707713538168,1.13752695308,0.218330559107,67559.8051877,86630.8356245,32423.5186863,19157.0
5,89.887408,120.842133333,114.430434667,79.8948632498,61.6219100925,72.2338639928,6383.18917371,3797.25980345,5217.73110733,0.583714343444,1.22375967281,0.55417870508,51379.7159587,74462.9922512,43677.3599591,12903.0
6,185.620994667,126.051290667,95.3037866667,80.5227082192,99.6967088922,100.276434914,6483.90653896,9939.43376393,10055.363399,0.301540804551,0.495553734682,0.143384005531,57307.1985967,78780.0773102,37811.8582722,23398.0
7,99.0701142061,96.6070891365,84.5043147632,59.3923847419,67.3091395732,82.5367971844,3527.45536534,4530.52027008,6812.32288946,0.0587064518853,0.212667965493,0.0740448480209,13899.0678105,31890.3154578,20764.9577895,14463.0
8,183.031090909,165.651235837,109.649209486,62.2499553716,66.6915209725,95.6383509166,3875.05694376,4447.75896962,9146.69416604,0.107460047366,0.476762829594,0.258536198559,21464.5543862,67977.7596865,52533.6957295,27349.0
9,95.4913163842,62.2750621469,50.3013559322,60.6595917517,54.6858871229,34.7655916064,3679.58607149,2990.54625042,1208.64635974,0.0872572444056,0.190297333187,0.149702518072,24660.4851534,35276.0587651,19817.4707266,29535.0
10,61.6576840621,53.2913399154,46.4486459803,81.1364673361,71.0994242658,62.4343439651,6583.12633179,5055.12813093,3898.04730635,0.0209315926503,0.0811092632724,0.0323623325018,12088.7477846,22300.33641,12044.4651604,17772.0
11,55.9098426667,55.8226613333,56.923128,81.9300032771,81.7414147276,83.2367559357,6712.52543699,6681.65888166,6928.3575387,0.000132169882963,0.000969508632633,0.0010403403095,824.652047836,2446.24569494,2569.32345181,17674.0
