,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
0,0.0,Tyler Perry,"[{u'id': 18, u'name': u'Drama'}, {u'id': 35, u'name': u'Comedy'}]",26367,"['aunt', 'duringcreditsstinger']","When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only relative they have: their aunt April. A heavy-drinking nightclub singer who lives off of Raymond, her married boyfriend, April wants nothing to do with the kids.",0.318671,/ofj0c2zE5uYrjjlSLXtrMMAz3O0.jpg,2009,0.0,113.0,I Can Do Bad All By Myself
1,0.0,Andrzej Żuławski,"[{u'id': 18, u'name': u'Drama'}, {u'id': 27, u'name': u'Horror'}]",21484,"['germany', 'adultery', 'monster', 'hysteria', 'investigation', 'marriage crisis', 'police', 'murder', 'gore', 'domestic abuse', 'teacher', 'serial killer', 'domestic violence', 'motorcycle', 'extramarital affair', 'mental illness', 'doppelganger', 'video nasty', 'breakdown', 'affair', 'motorbike']","A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",1.257908,/lkXmD45Rte2buZ3si2rbBf8BEDj.jpg,1981,0.0,123.0,Possession
2,0.0,J. Lee Thompson,"[{u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 35, u'name': u'Comedy'}]",12715,"['secret passage', 'martial arts', 'gold', 'treasure', 'temple', 'voodoo', 'wretch', 'treasure hunt', 'jungle', 'human sacrifice', 'soldier', 'drinking', 'central america', 'disguise', 'catfight', 'pretty woman', 'aztec indian', 'wisecrack humor', 'buddy comedy', 'bar fight', 'woman in peril', 'stranded in the desert']",A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,0.320343,/v8DC9qUY6KNF4tqYq7agbwFqR78.jpg,1986,11949484.0,104.0,Firewalker
3,0.0,Lee Myung-Se,"[{u'id': 28, u'name': u'Action'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 80, u'name': u'Crime'}]",25660,,"Over the next 72 days, Detective Woo will push his skills to the limits and his team of cops to the edge as they conduct a manhunt for an elusive criminal. Woo takes the law into his own hands as the hunt becomes personal, and as his target may get away.",0.096428,/pZNUDVtbDPxA2qF3WB4orPF7sPQ.jpg,1999,0.0,112.0,Nowhere to Hide
4,0.0,Anne Fontaine,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}]",11156,"['fashion designer', 'woman director']","2009 biopic about the early life of Coco Chanel. Several years after leaving the orphanage, to which her father never returned for her, Gabrielle Chanel finds herself working in a provincial bar both. She's both a seamstress for the performers and a singer, earning the nickname Coco from the song she sings nightly with her sister. A liaison with Baron Balsan gives her an entree into French society and a chance to develop her gift for designing.",0.879496,/c0K9vPufKe9gv0EbM9kkVniZ8H5.jpg,2009,0.0,110.0,Coco Before Chanel
5,0.0,Mastan Alibhai Burmawalla,"[{u'id': 80, u'name': u'Crime'}, {u'id': 53, u'name': u'Thriller'}]",19657,['bollywood'],"Wealthy widower Madan Chopra has two young and marriageable aged daughters, Priya and Seema. Madan would like Priya to marry Vicky Malhotra, his business associate, to which she reluctantly agrees. Seema attends college and is seduced by Ajay Sharma and aspires to marry him secretly. But when they go to register the marriage Ajay mysteriously kills Seema by throwing her off a multi-storied building. A grief-stricken Priya is unable to forget this incident and what she does not know is that Vicky is not what he claims to be.",0.417445,/bK82ufUwQDnR70bDa45d5RkedV8.jpg,1993,0.0,181.0,Baazigar
6,0.0,Robert Hayes,"[{u'id': 14, u'name': u'Fantasy'}, {u'id': 28, u'name': u'Action'}, {u'id': 878, u'name': u'Science Fiction'}]",26440,"['female nudity', 'bondage', 'sword', 'strong woman', 'warrior woman', 'machinegun', 'post-apocalyptic', 'knife', 'fistfight', 'sword fight', 'wasteland', 'character name in title', 'hit in crotch']","Big hair, big guns, big personalities, and a serious lack of wardrobe. She-Wolves of the Wasteland, a post-apocalyptic story that features women--lots and lots of women--who leave little to the imagination as they battle each other in various junkyards and gravel pits to determine the fate of the entire world.",0.363261,/gBgXDZZuDayv37EKRhSVZ5xxS5f.jpg,1988,0.0,85.0,Phoenix the Warrior
7,645180.0,Jim Sheridan,"[{u'id': 18, u'name': u'Drama'}]",10161,"['bodily disabled person', 'biography', 'poet', 'foot', 'author', 'irish', 'working class', 'disabled', 'cerebral palsy', 'flashback', 'courage']","In this true story told through flashbacks, Christy Brown is born with crippling cerebral palsy into a poor, working-class Irish family. Able only to control movement in his left foot and to speak in guttural sounds, he is mistakenly believed to be retarded for the first ten years of his life.",0.633037,/zA1wHeLIvvi3quJSXcrofG2Ytk.jpg,1989,14743391.0,103.0,My Left Foot: The Story of Christy Brown
8,0.0,François Truffaut,"[{u'id': 10749, u'name': u'Romance'}, {u'id': 18, u'name': u'Drama'}]",12579,"['france', 'deceived husband', 'wife', 'neighbor', 'extramarital affair']","Madame Jouve, the narrator, tells the tragedy of Bernard and Mathilde. Bernard was living happily with his wife Arlette and his son Thomas. One day, a couple, Philippe and Mathilde Bauchard, moves into the next house. This is the accidental reunion of Bernard and Mathilde, who had a passionate love affair years ago. The relationship revives... A somber study of human feelings.",0.268184,/z2KgnHlHt7rWclbCCH7ugIzzhZh.jpg,1981,0.0,106.0,The Woman Next Door
9,0.0,Jehane Noujaim,"[{u'id': 99, u'name': u'Documentary'}]",14268,"['friendship', 'internet', 'business start-up', 'woman director']","Friends since high school, 20-somethings Kaleil Isaza Tuzman and Tom Herman have an idea: a Web site for people to conduct business with municipal governments. This documentary tracks the rise and fall of govWorks.com from May of 1999 to December of 2000, and the trials the business brings to the relationship of these best friends. Kaleil raises the money, Tom's the technical chief. A third partner wants a buy out; girlfriends come and go; Tom's daughter needs attention. And always the need for cash and for improving the site. Venture capital comes in by the millions. Kaleil is on C-SPAN, CNN, and magazine covers. Will the business or the friendship crash first?",0.085086,/rPn4JMtLiMVmUeF4RuRSw1ScrsD.jpg,2001,0.0,107.0,Startup.com
