,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
0,0,Richard Fleischer,"[{u'id': 80, u'name': u'Crime'}]",22924,"['armored car', 'film noir']","The film tells the story of a well-planned robbery of an armored car when it stops at a sports stadium. Yet, the heist goes awry, and a tough Los Angeles cop named Cordell (Charles McGraw) is in hot pursuit.",0.122706,/6JdNN04zLhWrcz5rD3k9d4nDbM7.jpg,1950,0,67,Armored Car Robbery
1,6000000,Gregory Jacobs,"[{u'id': 18, u'name': u'Drama'}, {u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}]",14223,"['terror', 'winter', 'paranoia', 'cold', 'supernatural', 'snow', 'student', 'crash']","Two college students share a ride home for the holidays. When they break down on a deserted stretch of road, they're preyed upon by the ghosts of people who have died there.",0.249227,/pEVChTdLzgXO1fBvlSYFsukWlP4.jpg,2007,0,91,Wind Chill
2,0,,"[{u'id': 35, u'name': u'Comedy'}]",22000,,Comedian Lee Evans captured at his hilarious best at London's Her Majesty's Theatre.,0.000533,/1pSgSuqYKvFpqn7uX4QlJLoIpw.jpg,1994,0,66,Lee Evans: Live At Her Majesty's Theatre
3,0,David Silberg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",18307,,"Three beautiful women (Electra, Dash, and Fox) who have had their share of men trouble enter into a game of fun in which they choose a random guy and film each other seducing him so as to use the footage later to humiliate him. But problems arise when the random man is in on the joke.",0.137653,/9u2f7mbgwJzSIcnOqfS5kOAELlH.jpg,2005,0,81,Getting Played
4,0,Herb Freed,"[{u'id': 27, u'name': u'Horror'}]",27420,['slasher'],"After a high school track runner, named Laura, suddenly dies from a heart attack after finishing a 30-second 200-meter race, a killer wearing a sweat suit and a fencing mask begins killing off her friends on the school track team one by one. The suspects include the track coach Michaels, Laura's sister Anne who arrives in town for the funeral, the creepy school principal Mr. Guglione, and Laura's strange boyfriend Kevin.",0.188098,/bxg98VKp0tUA2U3AUuM2Ej9Yc4S.jpg,1981,0,96,Graduation Day
5,0,Valerie Breiman,"[{u'id': 35, u'name': u'Comedy'}]",19157,"['dictator', 'television', 'narration', 'rock star', 'bartender', 'friendship', 'stand-up comedy', 'independent film', 'cruise ship', 'model', 'musical number', 'woman director', 'trying to impress women', 'hollywood agent', 'celebrity cameo', 'fantasy life', 'locked in bathroom']",A struggling young comedian takes a menial job on a cruise ship where he hopes for his big chance to make it in the world of cruise ship comedy.,0.501085,/btTJrU4EAXihCzKYES1ROY6ZUpR.jpg,1989,0,99,Going Overboard
6,0,Joe Sichta,"[{u'id': 16, u'name': u'Animation'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 10751, u'name': u'Family'}]",12903,,"Scooby-Doo and Shaggy must go into the underworld ruled by the Goblin King in order to stop a mortal named The Amazing Krudsky who wants power and is a threat to their pals, Fred, Velma and Daphne.",0.500697,/1TVd99wir9bTkBHGTGRmTlQj9Rc.jpg,2008,0,75,Scooby-Doo! and the Goblin King
7,75000000,Betty Thomas,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}, {u'id': 16, u'name': u'Animation'}, {u'id': 14, u'name': u'Fantasy'}, {u'id': 10402, u'name': u'Music'}]",23398,"['chipmunk', 'cgi', 'based on tv series', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']","Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",1.880681,/1vfj6gsWDXYmIgjA9FphmvRKnJj.jpg,2009,443140005,88,Alvin and the Chipmunks: The Squeakquel
8,0,Bob Swerer Jr.,"[{u'id': 99, u'name': u'Documentary'}, {u'id': 36, u'name': u'History'}]",14463,"['wilderness', 'log cabin', 'hermit']","Dick Proenneke retired at age 50 in 1967 and decided to build his own cabin in the wilderness at the base of the Aleutian Peninsula, in what is now Lake Clark National Park. Using color footage he shot himself, Proenneke traces how he came to this remote area, selected a homestead site and built his log cabin completely by himself. The documentary covers his first year in-country, showing his day-to-day activities and the passing of the seasons as he sought to scratch out a living alone in the wilderness.",0.068451,/f3KR6EINGC6NCxIhMpPn8kqduy5.jpg,2004,0,57,Alone in the Wilderness
9,0,Philip Kaufman,"[{u'id': 28, u'name': u'Action'}, {u'id': 37, u'name': u'Western'}]",27349,"['jesse james', 'cole younger']","The gangs of Jesse James and Cole Younger join forces to rob the First National Bank in Northfield, Minnesota, but things do not go as planned.",0.325967,/43oCljfg3cttXOxquST5mHrDZtn.jpg,1972,0,91,The Great Northfield Minnesota Raid
