,Accuracy
0,0.642678399945
1,0.675371060935
2,0.704595096866
3,0.724208911847
4,0.737913549155
5,0.749553102501
6,0.758483909486
7,0.768022621916
8,0.77865198509
9,0.7882622145
10,0.796576181759
11,0.804997423817
12,0.812488934394
13,0.819962568635
14,0.82567506308
15,0.829823107758
16,0.832755349052
17,0.834865130948
18,0.835812743689
19,0.836706716546
20,0.837225223035
21,0.837931463775
22,0.838235416057
23,0.838852255156
24,0.839093632558
25,0.839236674619
26,0.839451220725
27,0.839558499969
28,0.83963895602
29,0.839647893419
30,0.839808815561
31,0.839978666747
32,0.840085942336
33,0.840157461793
34,0.840282621894
35,0.840273677646
36,0.840282617672
37,0.840336257853
38,0.840318377236
39,0.840354141888
40,0.840372017985
41,0.840380954265
42,0.840407776504
43,0.840416715828
44,0.840479294126
45,0.840497171312
46,0.84051505369
47,0.840532933591
48,0.840577627929
49,0.840541871543
