,Accuracy
0,0.56066074419
1,0.619205403805
2,0.660473275185
3,0.686848281384
4,0.707571503639
5,0.724892937183
6,0.743723301888
7,0.756259019375
8,0.764964382172
9,0.77240188694
10,0.779607247353
11,0.790803676128
12,0.801830461025
13,0.811803677559
14,0.819785827637
15,0.826919760227
16,0.830366189003
17,0.833625117779
18,0.835116186619
19,0.835294760227
20,0.836160831451
21,0.836348332882
22,0.837785833359
23,0.837392975807
24,0.838205475807
25,0.838428689957
26,0.839151902676
27,0.838812619686
28,0.838625120163
29,0.839562616348
