,Accuracy
0,0.610339327335
1,0.642223265648
2,0.671705422401
3,0.694991144657
4,0.717410792828
5,0.740214369774
6,0.762187596321
7,0.780625094414
8,0.796687606335
9,0.810875113487
10,0.82028582859
11,0.828419758797
12,0.832812621117
13,0.835482262611
14,0.838035835743
15,0.838491195679
16,0.839482268333
17,0.840169764042
18,0.840509054184
19,0.841142980099
20,0.84063405323
21,0.840982265472
22,0.84088405323
23,0.84071440649
24,0.841000123978
25,0.840669770718
26,0.840196550846
27,0.840866195202
28,0.840410838604
29,0.840500120163
