,Accuracy
0,0.498379913069
1,0.508420464469
2,0.523038279719
3,0.534589163656
4,0.54648485174
5,0.562291335284
6,0.57388759144
7,0.58877762401
8,0.604075973596
9,0.618711934342
10,0.635688934384
11,0.654562341973
12,0.6636996119
13,0.684042972278
14,0.695503125346
15,0.710638133491
16,0.724865785459
17,0.737133507322
18,0.750363039777
19,0.760008437847
20,0.770824352416
21,0.783273543769
22,0.789706833963
23,0.79501498957
24,0.801802148664
25,0.809415033678
26,0.813425633965
27,0.817699371315
28,0.821410528528
29,0.826491840002
30,0.828823789348
31,0.829295632316
32,0.831663874107
33,0.83348770161
34,0.835919475168
35,0.835547448658
36,0.838351240488
37,0.839040837637
38,0.840093395574
39,0.839803036635
40,0.841282054176
41,0.841844629466
42,0.841272986517
43,0.841635930344
44,0.843768268097
45,0.843105883133
46,0.842706643469
47,0.842742932037
48,0.843731975168
49,0.845011370938
