,Accuracy
0,0.498397917517
1,0.50117961178
2,0.511614426849
3,0.518410661841
4,0.532266291661
5,0.541848164264
6,0.551466351602
7,0.561837650896
8,0.572535602542
9,0.584757945402
10,0.594112991802
11,0.605437036452
12,0.615772036033
13,0.626578881489
14,0.636051888873
15,0.648764206627
16,0.658645532965
17,0.66647618476
18,0.677582456814
19,0.688752252881
20,0.699395763196
21,0.707435109266
22,0.716971620796
23,0.724747832228
24,0.734066575039
25,0.74332179965
26,0.748920314196
27,0.758239059913
28,0.765026232576
29,0.770116606379
30,0.776141573743
31,0.78023383094
32,0.78622251216
33,0.792274718847
34,0.79387168768
35,0.797582861369
36,0.802854710478
37,0.80486001038
38,0.80838970634
39,0.811120892928
40,0.815539818469
41,0.816565148714
42,0.817617707136
43,0.818679339517
44,0.819623008976
45,0.822499399263
46,0.823960262585
47,0.82467708985
48,0.825339474814
49,0.827508103557
50,0.828660465837
51,0.829177674239
52,0.827362922634
53,0.829449890106
54,0.830366334779
55,0.829967084939
56,0.831672954365
57,0.830584110283
58,0.831781839937
59,0.832135714167
60,0.833279009757
61,0.833651033843
62,0.833714546227
63,0.833246442579
64,0.833923250194
65,0.834376927314
66,0.833288083232
67,0.835855951154
68,0.834758028751
69,0.834349709798
70,0.836536491789
71,0.83507561296
72,0.836581857708
73,0.836754257601
74,0.836536491789
75,0.836590924883
76,0.836772407943
77,0.83853271434
78,0.836500195953
79,0.837924772646
80,0.83785217952
81,0.838941031355
82,0.836908510061
83,0.838206051811
84,0.837271458734
85,0.838378464788
86,0.838324016672
87,0.840111552215
88,0.838614371734
89,0.836908515876
90,0.838677898655
91,0.839657857166
92,0.838986406481
93,0.839585268401
94,0.838060880095
95,0.840138764401
96,0.839757669263
97,0.839830257059
98,0.839521755048
99,0.839793961223
