,Accuracy
0,0.543500020742
1,0.585160747528
2,0.614473252296
3,0.634517910957
4,0.648196483135
5,0.659142912865
6,0.669455419064
7,0.681544710159
8,0.695553644657
9,0.7111429286
10,0.729169726372
11,0.748473301411
12,0.768339380741
13,0.785625100136
14,0.80197331953
15,0.81332154274
16,0.821276898384
17,0.82662511301
18,0.828937614441
19,0.831178687096
20,0.832964400291
21,0.834964400291
22,0.835348336697
23,0.83674119091
24,0.837705475807
25,0.837500115871
26,0.838892972469
27,0.838875121117
28,0.83942869091
29,0.84027690649
