,Accuracy
0,0.501872141034
1,0.506152017572
2,0.513901011246
3,0.524208789918
4,0.53369086787
5,0.544933244465
6,0.552192242165
7,0.567508740154
8,0.573497417496
9,0.586545483853
10,0.596916780239
11,0.607043089905
12,0.615908144935
13,0.628103275609
14,0.63931843808
15,0.648192564646
16,0.661059154728
17,0.669969579069
18,0.678934450072
19,0.688625208731
20,0.699477432705
21,0.710592771933
22,0.717516051075
23,0.728050677272
24,0.735182648752
25,0.742196663608
26,0.747504805162
27,0.755898031762
28,0.76360164716
29,0.769281817161
30,0.775007361319
31,0.780515127066
32,0.784525724446
33,0.788391152048
34,0.792002500557
35,0.796920472044
36,0.798100060079
37,0.804515204294
38,0.804596875741
39,0.810004824545
40,0.810431288994
41,0.813108059934
42,0.814768545027
43,0.81596628631
44,0.81610239279
45,0.81888803767
46,0.819214693414
47,0.822218096838
48,0.821936819127
49,0.82400562802
50,0.824840413846
51,0.824023780784
52,0.824885779765
53,0.827335704633
54,0.825920194145
55,0.827217748495
56,0.82890546758
57,0.828987126428
58,0.830420780957
59,0.830402624801
60,0.830239304682
61,0.830212077474
62,0.82974025389
63,0.831401326964
64,0.83020300933
65,0.833251792241
66,0.831192051977
67,0.833106616164
68,0.832181085901
69,0.832725506488
70,0.833024946655
71,0.833369740626
72,0.833115679946
73,0.833052162717
74,0.832870688865
75,0.833106606956
76,0.833523995023
77,0.833251788364
78,0.833687332103
79,0.83401397864
80,0.835547445751
81,0.834531186073
82,0.834685445801
83,0.835393190384
84,0.83406842821
85,0.835384124178
86,0.835493003934
87,0.835148199787
88,0.835656341498
89,0.834540265847
90,0.834812483167
91,0.836037434214
92,0.836082794802
93,0.837108138616
94,0.835801511276
95,0.835003018864
96,0.836763333984
97,0.836055574863
98,0.837725143122
99,0.835102832414
