,mR,mG,mB,stdR,stdG,stdB,D1,D2,D3
0,138.006544218,103.151855782,89.3244136054,7306.68915717,6633.51406907,4299.25749323,33633.1687475,58858.0890872,34795.9206086
1,38.4387493333,49.8609813333,54.1098506667,3537.86093636,3765.96648714,4207.38621016,16898.7958447,26961.9609265,10989.4078093
2,219.592109091,202.899499301,173.125806993,4363.27575927,6754.65558073,9512.96361875,36509.103714,64276.639948,50754.7063335
3,122.91176,115.851421333,80.549536,5323.77888037,5252.36633238,3378.63487418,11704.5124204,32653.1762008,26312.8602968
4,165.836052198,136.781236264,128.247906593,4839.56189859,8933.17112594,8524.56238298,30733.6568114,32831.4418355,7438.8235629
5,72.3588923077,66.0008391608,57.401820979,5126.47815016,5012.23458951,4564.88775668,7654.66302328,19917.5933034,16318.9357803
6,123.312165789,116.736247368,114.743165789,3754.99042357,3388.83565034,3795.17652829,19371.4269221,34279.9166277,18922.0762867
7,137.280384,123.215549333,103.472776,9846.09458481,5594.14291715,3484.48273619,39006.8209292,78524.9001591,55612.0950873
8,88.5620666667,77.6941706667,74.9589093333,6662.26589173,5594.18833509,5254.96572756,36713.3298272,39083.2399885,8433.90069896
9,182.401296,183.00648,185.00328,3753.23295085,4717.30340334,5214.16514657,15602.7793037,23711.5860709,9210.35276197
10,75.3575946667,60.501048,55.5160133333,7756.69608872,6319.82898024,5661.55799957,21713.1444291,23266.7509335,5514.57414494
11,116.741381333,102.598818667,78.424648,4416.67687105,3510.5680162,2093.81076474,23427.6998231,34746.2664901,19738.004965
12,61.3826773333,44.824792,34.57612,5307.55042739,4444.31232349,3943.69762441,18340.8417201,30117.9996182,14371.9424574
13,170.010626667,129.463202667,89.8418666667,5555.61838041,5669.01451262,6830.24083918,39905.069277,74040.0605416,41943.3366698
14,118.756981333,71.0065733333,33.0833893333,8191.67084593,4622.45301546,2832.68456889,39253.3682504,71739.1538492,35089.5149867
15,113.618709333,99.2066133333,82.0100746667,11422.9947241,10286.0962496,8833.4048265,20069.0961431,40915.0276304,27179.4712973
16,151.285182891,132.021297935,90.7408584071,6997.80731084,6885.95586498,5140.28427041,19204.3016275,45698.1714514,31124.4608146
17,89.6325173333,68.4234293333,72.004248,8191.61744716,5731.41649427,5397.93029929,24117.6532026,30162.7397462,29078.4010736
18,160.961018667,144.907234667,134.537850667,4947.98733912,5668.05553593,6141.96581533,23420.3807612,35418.2193511,17959.071329
19,192.607576,170.188162667,165.293629333,7200.99426207,9469.87590414,10177.4238645,30873.8414843,37178.1455159,9343.6437218
20,119.412304,67.134936,51.5038853333,6717.71505074,5449.47302694,3785.01723824,39770.9622086,51623.2421396,17737.8461488
21,147.093610667,177.140269333,201.358557333,8153.59570638,5699.65414051,4600.66848464,27575.4650913,49656.1277487,23850.4925735
22,160.502130667,155.305274667,149.220384,5637.14871013,5512.83627404,5257.03781489,22491.2287125,35317.2660465,19680.2749473
23,147.008054348,123.194902174,114.619769022,8085.78657643,7149.52546423,4148.16793256,24076.0206845,41238.7515209,23830.1267936
24,145.570214689,126.116827684,140.716745763,6490.9779682,6455.10026937,5594.24398738,24268.7205884,47468.2801037,35543.0065554
25,214.332184,207.580133333,206.70936,6501.19919779,7466.75570665,7085.70913906,19582.7868037,17316.4611569,6586.1636785
26,122.236205128,77.2735354449,54.0330165913,6214.27660533,5311.02764292,3158.73173947,39479.9239234,56608.4261484,35316.5289914
27,60.6576213333,93.1498586667,117.314816,3660.79816352,2915.17847838,2359.91924289,22790.1116496,38501.7763486,16243.8274738
28,71.1347973333,65.697064,62.8914026667,7122.03151235,6942.93126711,7131.74486262,10313.7417071,16958.4764351,7496.02074437
29,81.1176533333,75.294312,70.8950586667,6168.36769903,5778.37811911,5614.77434465,8356.54695433,14111.9404406,6473.69091014
30,118.880168,125.440504,139.243522667,7512.23026163,6738.65510023,6856.83437938,41978.2656145,53879.0756231,19656.1704307
31,95.843101983,87.503490085,96.628325779,5947.49536318,4927.75971586,5196.76716989,17567.8811756,27561.7886575,13437.4764372
