,mR,mG,mB,stdR,stdG,stdB,D1,D2,D3,ID
0,150.073478375,130.820225426,98.9168623853,81.0920955056,85.0969477245,76.5721835091,0.147141284666,0.422212439418,0.155149337237,22924.0
1,122.278944,136.241896,148.261242667,111.772518666,107.610035348,105.375315251,0.0166976059247,0.0516225822338,0.0104853941498,14223.0
2,53.87208,42.6399386667,50.3130266667,73.3541942755,61.7549091693,67.5411266783,0.304743958256,0.33902837928,0.0139645457296,27420.0
3,89.887408,120.841232,114.430434667,79.8948632498,61.6221157112,72.2338639928,0.583698278614,1.22375967281,0.55420122101,12903.0
4,185.620994667,126.051381333,95.3037866667,80.5227082192,99.6967106911,100.276434914,0.301540498967,0.495553734681,0.143384600169,23398.0
5,99.0701142061,96.6072005571,84.5043147632,59.3923847419,67.3091535077,82.5367971844,0.0587065455844,0.212667965493,0.0740460982556,14463.0
6,183.031090909,165.651285903,109.649209486,62.2499553716,66.691472537,95.6383509166,0.10746028622,0.476762829594,0.258536284853,27349.0
7,55.9098426667,55.8226613333,56.923128,81.9300032771,81.7414147276,83.2367559357,0.000132169880522,0.000969508638907,0.0010403403119,17674.0
8,141.556282383,123.298349741,108.393295337,88.1741161258,77.602498727,73.2090365938,0.219256622205,0.643386251171,0.264631876681,23293.0
9,187.792744,202.421074667,222.138477333,75.3667100844,54.8595872155,44.9591082951,0.850245743029,1.14360894109,0.311335605068,10327.0
10,58.9000345253,53.0828039457,39.6552848335,66.0443989174,59.7942095744,57.3205386014,0.112694010751,0.366923365833,0.119274796754,19553.0
11,193.855584,159.255186667,151.127330667,99.7024533166,111.621754904,113.994231071,0.236140435352,0.271377493012,0.0138700729723,25796.0
12,225.081141689,168.497901907,157.168332425,64.8089625005,101.524438373,103.809551292,0.387997952271,0.442272239348,0.0182259418802,20321.0
13,139.418688,79.7885733333,80.2995546667,114.371385123,107.667651249,107.280623502,0.355103259063,0.349334999675,0.000946878361819,21413.0
14,107.60977937,82.6531203438,84.4598968481,75.3053801969,62.8989253647,65.4919300069,0.187774630934,0.063876361596,0.118256526506,28003.0
15,101.282844106,108.235292776,123.13151711,97.8655905265,92.0597385734,98.2090108377,0.324083551173,0.431632567521,0.0231167906245,20630.0
16,151.058464,148.464474667,154.533138667,77.78701575,67.9196525851,72.5841513681,0.376812053145,0.850874550394,0.200776364129,11360.0
17,121.528941333,66.4002613333,60.156464,78.679217144,49.1374119946,37.332402499,0.126500183337,0.144774726695,0.0239654299472,16068.0
18,49.22436,105.418725333,131.115552,69.9464989159,69.9665403253,81.4333865177,0.321579361946,0.67063475493,0.13253742086,21744.0
19,131.220898667,117.430354667,47.2446346667,109.83859315,96.1071413104,60.9364895982,0.00833105121835,0.728296963163,0.643951380824,22074.0
20,81.5200586667,83.166696,87.803608,91.3456342926,88.3868962032,84.7564051042,0.0356142451511,0.0604593003827,0.00977432250073,24341.0
21,181.728049931,114.731650485,107.02112344,68.1531928353,83.4728953636,83.8008085414,0.310234323079,0.376129533631,0.0591851539987,16636.0
22,109.423266667,97.1958853333,81.5540453333,81.4679850084,73.7860962124,68.8528869724,0.0418813217508,0.369670286843,0.298921996268,28402.0
23,96.735736,101.849904,106.433968,75.15611547,70.6535758132,70.7554016391,0.141530592388,0.22486409053,0.019830180256,12445.0
24,31.815368,20.0296693333,19.2987813333,63.1739794458,46.7246676863,46.562335985,0.320044972379,0.320831579293,0.0061410606316,26961.0
25,161.238437333,163.386317333,175.955970667,83.3795197614,82.1330121789,73.119768381,0.0201716574218,0.154835370593,0.0797761934891,14373.0
26,61.4318506224,61.1233112033,60.2270622407,88.6234772786,78.2597760195,83.1409205647,0.157829058314,0.361022597903,0.0578674281248,15559.0
27,116.111232,146.965949333,160.470746667,102.198003063,73.4687910559,67.4611436031,0.182682978773,0.371936495887,0.0674135687408,20935.0
28,198.093949333,115.657469333,50.002168,53.4655968406,64.9323453712,67.0333079643,0.627469711721,1.17734273105,0.505820137098,17128.0
29,86.4817226667,78.8771413333,98.7218746667,86.3251401115,83.5446355055,89.2114563848,0.0500277747404,0.189008677855,0.0735123625463,18852.0
30,115.425834667,115.423197333,100.179469333,97.1214879528,87.8013189879,90.6194651133,0.275516425536,0.496629282374,0.170318517536,16857.0
31,92.4664462366,82.7928521505,75.5788736559,85.5185176951,64.6828689739,56.9083904411,0.125384080391,0.708920390195,0.317886645858,16115.0
32,189.766930667,124.516109333,58.425616,63.90690814,59.3451370585,31.8139130626,0.0418954104151,0.194572624782,0.112805987542,21189.0
33,57.6073013333,46.4420906667,19.5981493333,57.8293899999,48.8581682408,38.5911748639,0.0186402467738,0.20849883143,0.129253655327,18557.0
34,110.513749326,87.7676819407,67.7639514825,72.1028586538,61.8162137444,50.7655340847,0.0824269919259,0.152758860512,0.0593223719774,19732.0
35,129.059826667,115.681349333,127.358189333,101.391369715,91.8088841766,93.8932365424,0.204856296257,0.588724224137,0.188859487609,28797.0
36,95.224448,87.912216,67.3181066667,85.0779467024,83.0557926736,65.3777872789,0.133830298091,0.688528880575,0.584306367745,20481.0
37,150.867626667,133.540712,97.367464,78.1626761908,73.648984432,60.8000527374,0.0660401348664,0.219847126868,0.101481657637,28524.0
38,105.399730978,78.4742201087,55.6152798913,76.560007691,64.5820167674,53.2212677506,0.0528586291693,0.197652714971,0.0715229592592,25778.0
39,160.541264,116.183693333,73.591704,77.1578003744,77.4203234865,51.7644970842,0.116505397745,0.504350316949,0.46487405304,15266.0
40,136.580368,135.651314667,128.10984,92.6778224154,84.8385117574,80.2521054958,0.0258804857928,0.0609693683867,0.00964329937328,27804.0
41,200.088752,179.784917333,166.926602667,69.6384274407,80.1886408962,87.02024938,0.0899253874332,0.132154336331,0.0473256682886,13687.0
42,205.712011096,184.505661581,164.864391123,68.1981247478,83.4371878735,107.385397565,0.233293025839,0.447594450359,0.0697726113694,28651.0
43,26.254629776,13.3111541502,13.2520711462,36.77527527,24.6026412769,24.4001916676,0.108706968799,0.102051790403,0.00477858541281,16925.0
44,135.420498667,119.269845333,97.366448,89.5880749479,75.0728853637,69.9948946224,0.128278814536,0.381812437929,0.0923109327065,19400.0
45,105.774768,99.4204,122.680456,63.7904985287,63.7917498519,61.1647569626,0.22605514932,0.493860768206,0.124429635224,10895.0
46,88.0657066667,55.5109173333,34.694896,84.7702068573,76.7982932676,55.6792051627,0.0802067617851,0.13165600189,0.11582985908,13688.0
47,77.521376,53.666832,36.5520613333,87.6924045765,76.0931832366,59.0337338049,0.0351924235522,0.124201820717,0.0443523795793,29979.0
48,52.6616693333,42.5004053333,54.9676853333,62.749343702,50.21505697,50.5914038656,0.0763233011699,0.40431537086,0.292293929462,24789.0
49,215.496973333,186.820648,174.179386667,61.7866725773,101.043980105,104.410776566,0.379092214658,0.169201819624,0.165187578391,18576.0
50,127.725085333,149.030922667,135.480928,79.9327093535,70.9807540755,65.7573551698,0.133079416845,0.476990299961,0.169416220227,27858.0
51,81.2373304843,83.1548803419,64.9971709402,62.0219172882,62.1824748179,44.0811973596,0.177425760871,0.179763741963,0.10397872353,26235.0
