,Accuracy
0,0.734357226133
1,0.813187608719
2,0.825866186142
3,0.831535829067
4,0.833526903152
5,0.836384050369
6,0.836544764519
7,0.836946545124
8,0.838187619209
9,0.838375121117
10,0.838946550846
11,0.838500121593
12,0.839080480099
13,0.839750123978
14,0.840134051323
15,0.840214408398
16,0.840178693771
17,0.840401908398
18,0.840375124454
19,0.840473335266
20,0.840803692341
21,0.840651907444
22,0.841071547031
23,0.841285836697
24,0.840759055138
25,0.840803692341
26,0.840571547985
27,0.840669764042
28,0.840973340034
29,0.84072333765
30,0.841009049892
31,0.841035832882
32,0.840928693771
33,0.841009054184
34,0.841392982483
35,0.841187623024
36,0.841035838604
37,0.841116192341
38,0.841392981052
39,0.841000126362
40,0.841062621117
41,0.841017981529
42,0.84119655323
43,0.841196549892
44,0.841312619209
45,0.841223336697
46,0.840866198063
47,0.841178691864
48,0.84084833622
49,0.840723334789
50,0.841035836697
51,0.840991192818
52,0.841473340034
53,0.841000120163
54,0.840955478191
55,0.841160835743
56,0.841151906013
57,0.841205477715
58,0.841259055138
59,0.841134049416
60,0.84121440506
61,0.841080482483
62,0.841384047031
63,0.841259054184
64,0.840812622547
65,0.841366195202
66,0.841196548462
67,0.840687624454
68,0.841116192818
69,0.841294765472
70,0.841098340988
71,0.840741195202
72,0.841080480576
73,0.841339407444
74,0.841053696632
75,0.841366196156
76,0.840732262135
77,0.841160838127
78,0.841071550846
79,0.840669765472
80,0.841276909351
81,0.841178692341
82,0.841035839558
83,0.841080481529
84,0.84046440649
85,0.840937621593
86,0.841080483437
87,0.840866198063
88,0.841187624454
89,0.841366193771
90,0.840839409351
91,0.841044764996
92,0.840491196156
93,0.841687619686
94,0.840875125408
95,0.841062617779
96,0.840964405537
97,0.841178695202
98,0.841142978668
99,0.840866191864
