,Accuracy
0,0.729035791874
1,0.837169765949
2,0.840580477715
3,0.841598338604
4,0.841892982006
5,0.841785839558
6,0.841892978668
7,0.841821552753
8,0.842035841465
9,0.841830476284
10,0.841875123024
11,0.841776910782
12,0.841946548939
13,0.841759056091
14,0.841928694725
15,0.841964409351
16,0.841973339081
17,0.841937621117
18,0.841901909351
19,0.841910842896
20,0.841875125408
21,0.841955481052
22,0.841964410782
23,0.841937623978
24,0.8419465518
25,0.841919767857
26,0.841946550846
27,0.841946552277
28,0.842035839081
29,0.842026906013
30,0.841937622547
31,0.842000126839
32,0.841964412212
33,0.842044765949
34,0.841955478191
35,0.842062625885
36,0.841973341465
37,0.842035840034
38,0.841910839081
39,0.841973338604
40,0.841937624931
41,0.841955478668
42,0.841964406013
43,0.84200012064
44,0.841946555138
45,0.841973339081
46,0.841982266426
47,0.841946557045
48,0.841919764996
49,0.84198226881
