,Accuracy
0,0.499178589821
1,0.635803626537
2,0.728401865005
3,0.776848317146
4,0.8024108181
5,0.814884041309
6,0.820812616348
7,0.825794765472
8,0.82666975832
9,0.829776903152
10,0.832232263565
11,0.833544759274
12,0.833759052753
13,0.834134048939
14,0.834178691387
15,0.834464402676
16,0.834687619209
17,0.833723332405
18,0.834455476761
19,0.83402690649
20,0.83402690649
21,0.834785831928
22,0.834303694248
23,0.834232260704
24,0.833785829544
25,0.835107259274
26,0.834035835743
27,0.835348331451
28,0.834330477715
29,0.835241195202
