,Action,Adventure,Animation,Comedy,Crime,Drama,Family,History,Horror,Fantasy_Mystery,Romance,Science Fiction,Thriller,Other,ID
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22924
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,14223
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18307
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27420
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19157
5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,12903
6,0,0,1,1,0,0,1,0,0,1,0,0,0,0,23398
7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14463
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27349
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29535
10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17772
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17674
12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,29030
13,0,0,0,0,1,1,0,0,0,0,0,0,1,0,18487
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23293
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18208
16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15761
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26359
18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20993
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18421
20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15492
21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10327
22,0,0,0,0,0,0,0,0,0,1,0,1,1,0,19553
23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26559
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28283
25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,25796
26,0,1,0,0,0,0,1,0,0,0,1,0,0,0,23069
27,0,0,0,0,1,0,0,0,1,1,0,0,1,0,20321
28,0,0,0,1,0,1,0,0,0,0,1,0,0,0,21413
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28003
30,0,0,0,1,0,1,0,0,0,0,0,0,1,0,11229
31,0,0,0,1,0,1,0,0,0,0,1,0,0,0,16664
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13590
33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17082
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20630
35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19274
36,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16377
37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11360
38,1,1,0,1,0,0,0,0,0,0,0,0,1,0,10762
39,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10489
40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,16068
41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21744
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22074
43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18613
44,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24341
45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10319
46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13065
47,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16605
48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16636
49,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21959
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20033
51,0,0,0,0,0,0,0,0,1,1,0,0,1,0,28402
52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12445
53,0,0,0,0,0,0,0,0,1,1,0,1,0,0,26961
54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10270
55,1,0,0,0,1,0,0,0,0,0,0,0,1,0,14373
56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15559
57,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20935
58,1,0,0,0,0,1,0,1,0,0,0,0,0,0,17128
59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24697
60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15233
61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18852
62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16857
63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10052
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16115
65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21189
66,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18557
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28561
68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24586
69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13416
70,1,0,0,0,1,1,0,0,0,0,0,0,1,0,16956
71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12169
72,1,1,0,1,0,1,1,0,0,1,0,1,0,0,19732
73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19074
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28797
75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15041
76,0,0,0,1,0,0,0,0,1,0,0,0,0,0,27618
77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19243
78,1,0,0,0,0,1,0,0,1,1,0,0,0,0,20481
79,0,0,0,0,0,0,0,0,0,1,0,1,0,1,28524
80,1,0,0,0,0,1,1,0,0,0,0,0,1,0,25778
81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11985
82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10152
83,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28358
84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25566
85,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11384
86,0,0,0,1,1,0,0,0,0,0,0,0,1,0,11592
87,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16318
88,1,0,0,0,0,0,0,0,0,0,1,0,0,1,15266
89,1,0,0,0,0,0,0,0,1,0,0,1,0,0,14853
90,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27804
