,Accuracy
0,0.695560593296
1,0.792065215333
2,0.824588513069
3,0.832550424913
4,0.835356850563
5,0.836177983023
6,0.838682977576
7,0.837414890007
8,0.840242097208
9,0.840824166818
10,0.840533137183
11,0.840647471659
12,0.839743177882
13,0.840543518452
14,0.840969690413
15,0.840668259316
16,0.841250317546
17,0.842372900948
18,0.839691205824
19,0.842508022458
20,0.841198363113
21,0.840429189527
22,0.842133842608
23,0.842466442771
24,0.841468617303
25,0.841530973476
26,0.842268952807
27,0.840626680115
28,0.841406246003
29,0.843578617703
30,0.840512348137
31,0.844015178914
32,0.840948911568
33,0.841697277859
34,0.841863584879
35,0.842040281079
36,0.842237768337
37,0.842258567305
38,0.842663934331
39,0.840252488678
40,0.843194029245
41,0.842331316196
42,0.842528803107
43,0.841894772958
44,0.842788664648
45,0.840844964468
46,0.842840642535
47,0.841634913568
48,0.842726305977
49,0.841697278761
